Gauge[mm],Volume[m3]
398.0,619.802
399.0,621.378
400.0,622.954
401.0,624.531
402.0,626.108
403.0,627.685
404.0,629.262
405.0,630.839
406.0,632.416
407.0,633.993
408.0,635.57
409.0,637.147
410.0,638.724
411.0,640.302
412.0,641.88
413.0,643.458
414.0,645.036
415.0,646.614
416.0,648.192
417.0,649.77
418.0,651.348
419.0,652.926
420.0,654.504
421.0,656.083
422.0,657.662
423.0,659.241
424.0,660.82
425.0,662.399
426.0,663.978
427.0,665.557
428.0,667.136
429.0,668.715
430.0,670.294
431.0,671.874
432.0,673.454
433.0,675.034
434.0,676.614
435.0,678.194
436.0,679.773
437.0,681.353
438.0,682.933
439.0,684.513
440.0,686.093
441.0,687.674
442.0,689.255
443.0,690.835
444.0,692.416
445.0,693.997
446.0,695.578
447.0,697.159
448.0,698.739
449.0,700.32
450.0,701.901
451.0,703.483
452.0,705.065
453.0,706.646
454.0,708.228
455.0,709.81
456.0,711.392
457.0,712.974
458.0,714.555
459.0,716.137
460.0,717.719
461.0,719.302
462.0,720.885
463.0,722.467
464.0,724.05
465.0,725.633
466.0,727.216
467.0,728.799
468.0,730.381
469.0,731.964
470.0,733.547
471.0,735.131
472.0,736.714
473.0,738.298
474.0,739.882
475.0,741.466
476.0,743.049
477.0,744.633
478.0,746.217
479.0,747.8
480.0,749.384
481.0,750.969
482.0,752.553
483.0,754.138
484.0,755.723
485.0,757.308
486.0,758.892
487.0,760.477
488.0,762.062
489.0,763.646
490.0,765.231
491.0,766.817
492.0,768.402
493.0,769.988
494.0,771.574
495.0,773.16
496.0,774.745
497.0,776.331
498.0,777.917
499.0,779.502
500.0,781.088
501.0,782.675
502.0,784.261
503.0,785.848
504.0,787.434
505.0,789.021
506.0,790.608
507.0,792.194
508.0,793.781
509.0,795.367
510.0,796.954
511.0,798.542
512.0,800.129
513.0,801.717
514.0,803.304
515.0,804.892
516.0,806.479
517.0,808.067
518.0,809.654
519.0,811.242
520.0,812.829
521.0,814.418
522.0,816.006
523.0,817.595
524.0,819.183
525.0,820.772
526.0,822.36
527.0,823.949
528.0,825.537
529.0,827.126
530.0,828.714
531.0,830.304
532.0,831.893
533.0,833.483
534.0,835.072
535.0,836.662
536.0,838.251
537.0,839.841
538.0,841.43
539.0,843.02
540.0,844.609
541.0,846.199
542.0,847.79
543.0,849.38
544.0,850.971
545.0,852.561
546.0,854.151
547.0,855.742
548.0,857.332
549.0,858.923
550.0,860.513
551.0,862.104
552.0,863.696
553.0,865.287
554.0,866.879
555.0,868.47
556.0,870.061
557.0,871.653
558.0,873.244
559.0,874.836
560.0,876.427
561.0,878.019
562.0,879.612
563.0,881.204
564.0,882.796
565.0,884.389
566.0,885.981
567.0,887.573
568.0,889.165
569.0,890.758
570.0,892.35
571.0,893.943
572.0,895.537
573.0,897.13
574.0,898.723
575.0,900.317
576.0,901.91
577.0,903.503
578.0,905.096
579.0,906.69
580.0,908.283
581.0,909.877
582.0,911.472
583.0,913.066
584.0,914.66
585.0,916.255
586.0,917.849
587.0,919.443
588.0,921.037
589.0,922.632
590.0,924.226
591.0,925.821
592.0,927.416
593.0,929.012
594.0,930.607
595.0,932.202
596.0,933.797
597.0,935.392
598.0,936.988
599.0,938.583
600.0,940.178
601.0,941.774
602.0,943.37
603.0,944.966
604.0,946.562
605.0,948.159
606.0,949.755
607.0,951.351
608.0,952.947
609.0,954.543
610.0,956.139
611.0,957.736
612.0,959.333
613.0,960.93
614.0,962.527
615.0,964.125
616.0,965.722
617.0,967.319
618.0,968.916
619.0,970.513
620.0,972.11
621.0,973.708
622.0,975.306
623.0,976.904
624.0,978.502
625.0,980.101
626.0,981.699
627.0,983.297
628.0,984.895
629.0,986.493
630.0,988.091
631.0,989.69
632.0,991.289
633.0,992.888
634.0,994.487
635.0,996.086
636.0,997.685
637.0,999.284
638.0,1000.883
639.0,1002.482
640.0,1004.081
641.0,1005.681
642.0,1007.281
643.0,1008.881
644.0,1010.481
645.0,1012.081
646.0,1013.681
647.0,1015.281
648.0,1016.881
649.0,1018.481
650.0,1020.081
651.0,1021.682
652.0,1023.283
653.0,1024.884
654.0,1026.485
655.0,1028.086
656.0,1029.687
657.0,1031.288
658.0,1032.889
659.0,1034.49
660.0,1036.091
661.0,1037.693
662.0,1039.295
663.0,1040.896
664.0,1042.498
665.0,1044.1
666.0,1045.702
667.0,1047.304
668.0,1048.905
669.0,1050.507
670.0,1052.109
671.0,1053.712
672.0,1055.315
673.0,1056.918
674.0,1058.521
675.0,1060.124
676.0,1061.726
677.0,1063.329
678.0,1064.932
679.0,1066.535
680.0,1068.138
681.0,1069.742
682.0,1071.346
683.0,1072.949
684.0,1074.553
685.0,1076.157
686.0,1077.761
687.0,1079.365
688.0,1080.968
689.0,1082.572
690.0,1084.176
691.0,1085.781
692.0,1087.386
693.0,1088.99
694.0,1090.595
695.0,1092.2
696.0,1093.805
697.0,1095.41
698.0,1097.014
699.0,1098.619
700.0,1100.224
701.0,1101.83
702.0,1103.435
703.0,1105.041
704.0,1106.647
705.0,1108.253
706.0,1109.858
707.0,1111.464
708.0,1113.07
