Gauge[mm],Volume[m3]
0.0,0.0
1.0,0.746
2.0,1.492
3.0,2.238
4.0,2.984
5.0,3.73
6.0,4.475
7.0,5.221
8.0,5.967
9.0,6.713
10.0,7.459
11.0,8.206
12.0,8.952
13.0,9.699
14.0,10.445
15.0,11.192
16.0,11.939
17.0,12.685
18.0,13.432
19.0,14.178
20.0,14.925
21.0,15.675
22.0,16.425
23.0,17.175
24.0,17.925
25.0,18.675
26.0,19.424
27.0,20.174
28.0,20.924
29.0,21.674
30.0,22.424
31.0,23.175
32.0,23.925
33.0,24.676
34.0,25.426
35.0,26.177
36.0,26.927
37.0,27.678
38.0,28.428
39.0,29.179
40.0,29.929
41.0,30.68
42.0,31.431
43.0,32.183
44.0,32.934
45.0,33.685
46.0,34.436
47.0,35.187
48.0,35.939
49.0,36.69
50.0,37.441
51.0,38.193
52.0,38.945
53.0,39.696
54.0,40.448
55.0,41.2
56.0,41.952
57.0,42.704
58.0,43.455
59.0,44.207
60.0,44.959
61.0,45.712
62.0,46.464
63.0,47.217
64.0,47.969
65.0,48.722
66.0,49.474
67.0,50.227
68.0,50.979
69.0,51.732
70.0,52.484
71.0,53.237
72.0,53.99
73.0,54.742
74.0,55.495
75.0,56.248
76.0,57.001
77.0,57.754
78.0,58.506
79.0,59.259
80.0,60.012
81.0,60.766
82.0,61.519
83.0,62.273
84.0,63.026
85.0,63.78
86.0,64.533
87.0,65.287
88.0,66.04
89.0,66.794
90.0,67.547
91.0,68.3
92.0,69.054
93.0,69.807
94.0,70.56
95.0,71.314
96.0,72.067
97.0,72.82
98.0,73.573
99.0,74.327
100.0,75.08
101.0,75.834
102.0,76.588
103.0,77.342
104.0,78.096
105.0,78.851
106.0,79.605
107.0,80.359
108.0,81.113
109.0,81.867
110.0,82.621
111.0,83.376
112.0,84.13
113.0,84.885
114.0,85.639
115.0,86.394
116.0,87.149
117.0,87.903
118.0,88.658
119.0,89.412
120.0,90.167
121.0,90.922
122.0,91.678
123.0,92.433
124.0,93.189
125.0,93.944
126.0,94.699
127.0,95.455
128.0,96.21
129.0,96.966
130.0,97.721
131.0,98.477
132.0,99.233
133.0,99.989
134.0,100.745
135.0,101.501
136.0,102.257
137.0,103.013
138.0,103.769
139.0,104.525
140.0,105.281
141.0,106.038
142.0,106.794
143.0,107.551
144.0,108.307
145.0,109.064
146.0,109.821
147.0,110.577
148.0,111.334
149.0,112.09
150.0,112.847
151.0,113.604
152.0,114.362
153.0,115.119
154.0,115.876
155.0,116.634
156.0,117.391
157.0,118.148
158.0,118.905
159.0,119.663
160.0,120.42
161.0,121.178
162.0,121.936
163.0,122.694
164.0,123.452
165.0,124.21
166.0,124.967
167.0,125.725
168.0,126.483
169.0,127.241
170.0,127.999
171.0,128.758
172.0,129.516
173.0,130.275
174.0,131.033
175.0,131.792
176.0,132.551
177.0,133.309
178.0,134.068
179.0,134.826
180.0,135.585
181.0,136.344
182.0,137.103
183.0,137.863
184.0,138.622
185.0,139.381
186.0,140.14
187.0,140.899
188.0,141.659
189.0,142.418
190.0,143.177
191.0,143.937
192.0,144.697
193.0,145.457
194.0,146.217
195.0,146.977
196.0,147.736
197.0,148.496
198.0,149.256
199.0,150.016
200.0,150.776
201.0,151.537
202.0,152.297
203.0,153.058
204.0,153.818
205.0,154.579
206.0,155.339
207.0,156.1
208.0,156.86
209.0,157.621
210.0,158.381
211.0,159.142
212.0,159.903
213.0,160.665
214.0,161.426
215.0,162.187
216.0,162.948
217.0,163.709
218.0,164.471
219.0,165.232
220.0,165.993
221.0,166.755
222.0,167.517
223.0,168.278
224.0,169.04
225.0,169.802
226.0,170.564
227.0,171.326
228.0,172.087
229.0,172.849
230.0,173.611
231.0,174.374
232.0,175.136
233.0,175.899
234.0,176.661
235.0,177.424
236.0,178.186
237.0,178.949
238.0,179.711
239.0,180.474
240.0,181.236
241.0,181.999
242.0,182.762
243.0,183.525
244.0,184.288
245.0,185.052
246.0,185.815
247.0,186.578
248.0,187.341
249.0,188.104
250.0,188.867
251.0,189.631
252.0,190.395
253.0,191.158
254.0,191.922
255.0,192.686
256.0,193.45
257.0,194.214
258.0,194.977
259.0,195.741
260.0,196.505
261.0,197.269
262.0,198.034
263.0,198.798
264.0,199.563
265.0,200.327
266.0,201.091
267.0,201.856
268.0,202.62
269.0,203.385
270.0,204.149
271.0,204.914
272.0,205.679
273.0,206.444
274.0,207.209
275.0,207.975
276.0,208.74
277.0,209.505
278.0,210.27
279.0,211.035
280.0,211.8
281.0,212.566
282.0,213.331
283.0,214.097
284.0,214.863
285.0,215.629
286.0,216.394
287.0,217.16
288.0,217.926
289.0,218.691
290.0,219.457
291.0,220.223
292.0,220.99
293.0,221.756
294.0,222.523
295.0,223.289
296.0,224.055
297.0,224.822
298.0,225.588
299.0,226.355
300.0,227.121
301.0,227.888
302.0,228.655
303.0,229.422
304.0,230.189
305.0,230.956
306.0,231.723
307.0,232.49
308.0,233.257
309.0,234.024
310.0,234.791
311.0,235.559
312.0,236.326
313.0,237.094
314.0,237.862
315.0,238.63
316.0,239.397
317.0,240.165
318.0,240.933
319.0,241.7
320.0,242.468
321.0,243.236
322.0,244.005
323.0,244.773
324.0,245.541
325.0,246.31
326.0,247.078
327.0,247.846
328.0,248.614
329.0,249.383
330.0,250.151
331.0,250.92
332.0,251.689
333.0,252.458
334.0,253.227
335.0,253.996
336.0,254.765
337.0,255.534
338.0,256.303
339.0,257.072
340.0,257.841
341.0,258.611
342.0,259.38
343.0,260.15
344.0,260.919
345.0,261.689
346.0,262.459
347.0,263.228
348.0,263.998
349.0,264.767
350.0,265.537
351.0,266.307
352.0,267.078
353.0,267.848
354.0,268.618
355.0,269.389
356.0,270.159
357.0,270.929
358.0,271.699
359.0,272.47
360.0,273.24
361.0,274.011
362.0,274.782
363.0,275.553
364.0,276.324
365.0,277.095
366.0,277.866
367.0,278.637
368.0,279.408
369.0,280.179
370.0,280.95
371.0,281.722
372.0,282.493
373.0,283.265
374.0,284.036
375.0,284.808
376.0,285.579
377.0,286.351
378.0,287.122
379.0,287.894
380.0,288.665
381.0,289.437
382.0,290.21
383.0,290.982
384.0,291.754
385.0,292.527
386.0,293.299
387.0,294.071
388.0,294.843
389.0,295.616
390.0,296.388
391.0,297.161
392.0,297.934
393.0,298.706
394.0,299.479
395.0,300.252
396.0,301.025
397.0,301.798
398.0,302.57
399.0,303.343
400.0,304.116
401.0,304.89
402.0,305.663
403.0,306.437
404.0,307.21
405.0,307.984
406.0,308.758
407.0,309.531
408.0,310.305
409.0,311.078
410.0,311.852
411.0,312.626
412.0,313.4
413.0,314.175
414.0,314.949
415.0,315.723
416.0,316.497
417.0,317.271
418.0,318.046
419.0,318.82
420.0,319.594
421.0,320.369
422.0,321.144
423.0,321.918
424.0,322.693
425.0,323.468
426.0,324.243
427.0,325.018
428.0,325.792
429.0,326.567
430.0,327.342
431.0,328.118
432.0,328.893
433.0,329.669
434.0,330.444
435.0,331.22
436.0,331.995
437.0,332.771
438.0,333.546
439.0,334.322
440.0,335.097
441.0,335.873
442.0,336.649
443.0,337.425
444.0,338.201
445.0,338.978
446.0,339.754
447.0,340.53
448.0,341.306
449.0,342.082
450.0,342.858
451.0,343.635
452.0,344.412
453.0,345.188
454.0,345.965
455.0,346.742
456.0,347.519
457.0,348.296
458.0,349.072
459.0,349.849
460.0,350.626
461.0,351.403
