Gauge[mm],Volume[m3]
0.0,0.0
1.0,1.59
2.0,3.181
3.0,4.771
4.0,6.361
5.0,7.952
6.0,9.542
7.0,11.132
8.0,12.722
9.0,14.313
10.0,15.903
11.0,17.494
12.0,19.085
13.0,20.677
14.0,22.268
15.0,23.859
16.0,25.45
17.0,27.041
18.0,28.633
19.0,30.224
20.0,31.815
21.0,33.413
22.0,35.011
23.0,36.609
24.0,38.207
25.0,39.805
26.0,41.403
27.0,43.001
28.0,44.599
29.0,46.197
30.0,47.795
31.0,49.394
32.0,50.993
33.0,52.591
34.0,54.19
35.0,55.789
36.0,57.388
37.0,58.987
38.0,60.585
39.0,62.184
40.0,63.783
41.0,65.383
42.0,66.983
43.0,68.582
44.0,70.182
45.0,71.782
46.0,73.382
47.0,74.982
48.0,76.581
49.0,78.181
50.0,79.781
51.0,81.382
52.0,82.983
53.0,84.583
54.0,86.184
55.0,87.785
56.0,89.386
57.0,90.987
58.0,92.587
59.0,94.188
60.0,95.789
61.0,97.391
62.0,98.993
63.0,100.595
64.0,102.197
65.0,103.799
66.0,105.4
67.0,107.002
68.0,108.604
69.0,110.206
70.0,111.808
71.0,113.411
72.0,115.013
73.0,116.616
74.0,118.218
75.0,119.821
76.0,121.423
77.0,123.026
78.0,124.628
79.0,126.231
80.0,127.833
81.0,129.436
82.0,131.04
83.0,132.643
84.0,134.247
85.0,135.85
86.0,137.453
87.0,139.057
88.0,140.66
89.0,142.264
90.0,143.867
91.0,145.471
92.0,147.075
93.0,148.678
94.0,150.282
95.0,151.886
96.0,153.49
97.0,155.094
98.0,156.697
99.0,158.301
100.0,159.905
101.0,161.51
102.0,163.114
103.0,164.719
104.0,166.324
105.0,167.929
106.0,169.533
107.0,171.138
108.0,172.743
109.0,174.347
110.0,175.952
111.0,177.558
112.0,179.163
113.0,180.769
114.0,182.375
115.0,183.981
116.0,185.586
117.0,187.192
118.0,188.798
119.0,190.403
120.0,192.009
121.0,193.616
122.0,195.222
123.0,196.829
124.0,198.436
125.0,200.043
126.0,201.649
127.0,203.256
128.0,204.863
129.0,206.469
130.0,208.076
131.0,209.684
132.0,211.291
133.0,212.899
134.0,214.507
135.0,216.115
136.0,217.722
137.0,219.33
138.0,220.938
139.0,222.545
140.0,224.153
141.0,225.762
142.0,227.37
143.0,228.979
144.0,230.588
145.0,232.197
146.0,233.805
147.0,235.414
148.0,237.023
149.0,238.631
150.0,240.24
151.0,241.85
152.0,243.459
153.0,245.069
154.0,246.678
155.0,248.288
156.0,249.898
157.0,251.507
158.0,253.117
159.0,254.726
160.0,256.336
161.0,257.947
162.0,259.557
163.0,261.168
164.0,262.779
165.0,264.39
166.0,266.0
167.0,267.611
168.0,269.222
169.0,270.832
170.0,272.443
171.0,274.055
172.0,275.666
173.0,277.278
174.0,278.889
175.0,280.501
176.0,282.113
177.0,283.724
178.0,285.336
179.0,286.947
180.0,288.559
181.0,290.172
182.0,291.784
183.0,293.397
184.0,295.01
185.0,296.623
186.0,298.235
187.0,299.848
188.0,301.461
189.0,303.073
190.0,304.686
191.0,306.3
192.0,307.913
193.0,309.527
194.0,311.14
195.0,312.754
196.0,314.368
197.0,315.981
198.0,317.595
199.0,319.208
200.0,320.822
201.0,322.437
202.0,324.051
203.0,325.666
204.0,327.28
205.0,328.895
206.0,330.51
207.0,332.124
208.0,333.739
209.0,335.353
210.0,336.968
211.0,338.584
212.0,340.199
213.0,341.815
214.0,343.43
215.0,345.046
216.0,346.662
217.0,348.277
218.0,349.893
219.0,351.508
220.0,353.124
221.0,354.741
222.0,356.357
223.0,357.974
224.0,359.59
225.0,361.207
226.0,362.824
227.0,364.44
228.0,366.057
229.0,367.673
230.0,369.29
231.0,370.908
232.0,372.525
233.0,374.143
234.0,375.76
235.0,377.378
236.0,378.995
237.0,380.613
238.0,382.23
239.0,383.848
240.0,385.465
241.0,387.084
242.0,388.702
243.0,390.321
244.0,391.939
245.0,393.558
246.0,395.177
247.0,396.795
248.0,398.414
249.0,400.032
250.0,401.651
251.0,403.271
252.0,404.89
253.0,406.51
254.0,408.129
255.0,409.749
256.0,411.368
257.0,412.988
258.0,414.607
259.0,416.227
260.0,417.846
261.0,419.467
262.0,421.087
263.0,422.708
264.0,424.328
265.0,425.949
266.0,427.57
267.0,429.19
268.0,430.811
269.0,432.431
270.0,434.052
271.0,435.674
272.0,437.295
273.0,438.917
274.0,440.538
275.0,442.16
276.0,443.781
277.0,445.403
278.0,447.024
279.0,448.646
280.0,450.267
281.0,451.89
282.0,453.512
283.0,455.135
284.0,456.757
285.0,458.38
286.0,460.002
287.0,461.625
288.0,463.247
289.0,464.87
290.0,466.492
291.0,468.116
292.0,469.739
293.0,471.363
294.0,472.986
295.0,474.61
296.0,476.233
297.0,477.857
298.0,479.48
299.0,481.104
300.0,482.727
301.0,484.352
302.0,485.976
303.0,487.601
304.0,489.225
305.0,490.85
306.0,492.474
307.0,494.099
308.0,495.723
309.0,497.348
310.0,498.972
311.0,500.597
312.0,502.223
313.0,503.848
314.0,505.474
315.0,507.099
316.0,508.724
317.0,510.35
318.0,511.975
319.0,513.601
320.0,515.226
321.0,516.853
322.0,518.479
323.0,520.106
324.0,521.732
325.0,523.359
326.0,524.985
327.0,526.612
328.0,528.238
329.0,529.865
330.0,531.491
331.0,533.119
332.0,534.746
333.0,536.374
334.0,538.001
335.0,539.629
336.0,541.256
337.0,542.884
338.0,544.511
339.0,546.139
340.0,547.766
341.0,549.394
342.0,551.023
343.0,552.651
344.0,554.28
345.0,555.908
346.0,557.536
347.0,559.165
348.0,560.793
349.0,562.422
350.0,564.05
351.0,565.679
352.0,567.309
353.0,568.938
354.0,570.568
355.0,572.197
356.0,573.826
357.0,575.456
358.0,577.085
359.0,578.715
360.0,580.344
361.0,581.974
362.0,583.605
363.0,585.235
364.0,586.866
365.0,588.496
366.0,590.126
367.0,591.757
368.0,593.387
369.0,595.018
370.0,596.648
371.0,598.279
372.0,599.911
373.0,601.542
374.0,603.174
375.0,604.805
376.0,606.436
377.0,608.068
378.0,609.699
379.0,611.331
380.0,612.962
381.0,614.594
382.0,616.227
383.0,617.859
384.0,619.492
385.0,621.124
386.0,622.756
387.0,624.389
388.0,626.021
389.0,627.654
390.0,629.286
391.0,630.919
392.0,632.553
393.0,634.186
394.0,635.82
395.0,637.453
396.0,639.086
397.0,640.72
398.0,642.353
399.0,643.987
400.0,645.62
401.0,647.254
402.0,648.889
403.0,650.523
404.0,652.158
405.0,653.792
406.0,655.426
407.0,657.061
408.0,658.695
409.0,660.33
410.0,661.964
411.0,663.599
412.0,665.235
413.0,666.87
414.0,668.505
415.0,670.141
416.0,671.776
417.0,673.411
418.0,675.046
419.0,676.682
420.0,678.317
421.0,679.953
422.0,681.59
423.0,683.226
424.0,684.863
425.0,686.499
426.0,688.135
427.0,689.772
428.0,691.408
429.0,693.045
430.0,694.681
431.0,696.318
432.0,697.956
433.0,699.593
434.0,701.23
435.0,702.868
436.0,704.505
437.0,706.142
438.0,707.779
439.0,709.417
440.0,711.054
441.0,712.692
442.0,714.331
443.0,715.969
444.0,717.607
445.0,719.246
446.0,720.884
447.0,722.522
448.0,724.16
449.0,725.799
450.0,727.437
451.0,729.076
452.0,730.716
453.0,732.355
454.0,733.994
455.0,735.634
456.0,737.273
457.0,738.912
458.0,740.551
459.0,742.191
460.0,743.83
461.0,745.47
462.0,747.111
463.0,748.751
464.0,750.391
465.0,752.032
466.0,753.672
467.0,755.312
468.0,756.952
469.0,758.593
470.0,760.233
471.0,761.874
472.0,763.516
473.0,765.157
474.0,766.798
475.0,768.44
476.0,770.081
477.0,771.722
478.0,773.363
479.0,775.005
480.0,776.646
481.0,778.288
482.0,779.931
483.0,781.573
484.0,783.215
485.0,784.858
486.0,786.5
487.0,788.142
488.0,789.784
489.0,791.427
490.0,793.069
491.0,794.712
492.0,796.355
493.0,797.999
494.0,799.642
495.0,801.285
496.0,802.928
497.0,804.571
498.0,806.215
499.0,807.858
500.0,809.501
501.0,811.145
502.0,812.79
503.0,814.434
504.0,816.078
505.0,817.723
506.0,819.367
507.0,821.011
508.0,822.655
509.0,824.3
510.0,825.944
511.0,827.589
512.0,829.234
513.0,830.88
514.0,832.525
515.0,834.17
516.0,835.815
517.0,837.46
518.0,839.106
519.0,840.751
520.0,842.396
521.0,844.042
522.0,845.688
523.0,847.335
524.0,848.981
525.0,850.627
526.0,852.273
527.0,853.919
528.0,855.566
529.0,857.212
530.0,858.858
531.0,860.505
532.0,862.153
533.0,863.8
534.0,865.447
535.0,867.095
536.0,868.742
537.0,870.389
538.0,872.036
539.0,873.684
540.0,875.331
541.0,876.979
542.0,878.627
543.0,880.276
544.0,881.924
545.0,883.572
546.0,885.22
547.0,886.868
548.0,888.517
549.0,890.165
550.0,891.813
551.0,893.462
552.0,895.111
553.0,896.761
554.0,898.41
555.0,900.059
556.0,901.708
557.0,903.357
558.0,905.007
559.0,906.656
560.0,908.305
561.0,909.955
562.0,911.605
563.0,913.255
564.0,914.905
565.0,916.556
566.0,918.206
567.0,919.856
568.0,921.506
569.0,923.156
570.0,924.806
571.0,926.457
572.0,928.108
573.0,929.76
574.0,931.411
575.0,933.062
576.0,934.713
577.0,936.364
578.0,938.016
579.0,939.667
580.0,941.318
581.0,942.97
582.0,944.622
583.0,946.275
584.0,947.927
585.0,949.579
586.0,951.231
587.0,952.883
588.0,954.536
589.0,956.188
590.0,957.84
591.0,959.493
592.0,961.146
593.0,962.799
594.0,964.452
595.0,966.106
596.0,967.759
597.0,969.412
598.0,971.065
599.0,972.718
600.0,974.371
601.0,976.025
602.0,977.679
603.0,979.333
604.0,980.987
605.0,982.642
606.0,984.296
607.0,985.95
608.0,987.604
609.0,989.258
610.0,990.912
611.0,992.567
612.0,994.222
613.0,995.878
614.0,997.533
615.0,999.188
616.0,1000.843
617.0,1002.498
618.0,1004.154
619.0,1005.809
620.0,1007.464
621.0,1009.12
622.0,1010.776
623.0,1012.432
624.0,1014.088
625.0,1015.744
626.0,1017.4
627.0,1019.056
628.0,1020.712
629.0,1022.368
630.0,1024.024
631.0,1025.681
632.0,1027.338
633.0,1028.995
634.0,1030.652
635.0,1032.31
636.0,1033.967
637.0,1035.624
638.0,1037.281
639.0,1038.938
640.0,1040.595
641.0,1042.253
642.0,1043.911
643.0,1045.569
644.0,1047.227
645.0,1048.886
646.0,1050.544
647.0,1052.202
648.0,1053.86
649.0,1055.518
650.0,1057.176
651.0,1058.835
652.0,1060.494
653.0,1062.153
654.0,1063.812
655.0,1065.472
656.0,1067.131
657.0,1068.79
658.0,1070.449
659.0,1072.108
660.0,1073.767
661.0,1075.427
662.0,1077.087
663.0,1078.747
664.0,1080.407
665.0,1082.068
666.0,1083.728
667.0,1085.388
668.0,1087.048
669.0,1088.708
670.0,1090.368
671.0,1092.029
672.0,1093.69
673.0,1095.351
