Gauge[mm],Volume[m3]
0.0,0.0
1.0,1.59
2.0,3.18
3.0,4.77
4.0,6.36
5.0,7.95
6.0,9.539
7.0,11.129
8.0,12.719
9.0,14.309
10.0,15.899
11.0,17.49
12.0,19.081
13.0,20.672
14.0,22.263
15.0,23.854
16.0,25.444
17.0,27.035
18.0,28.626
19.0,30.217
20.0,31.808
21.0,33.406
22.0,35.003
23.0,36.601
24.0,38.199
25.0,39.797
26.0,41.394
27.0,42.992
28.0,44.59
29.0,46.187
30.0,47.785
31.0,49.384
32.0,50.982
33.0,52.581
34.0,54.179
35.0,55.778
36.0,57.377
37.0,58.975
38.0,60.574
39.0,62.172
40.0,63.771
41.0,65.371
42.0,66.97
43.0,68.57
44.0,70.169
45.0,71.769
46.0,73.369
47.0,74.968
48.0,76.568
49.0,78.167
50.0,79.767
51.0,81.368
52.0,82.968
53.0,84.569
54.0,86.169
55.0,87.77
56.0,89.371
57.0,90.971
58.0,92.572
59.0,94.172
60.0,95.773
61.0,97.375
62.0,98.976
63.0,100.578
64.0,102.179
65.0,103.781
66.0,105.382
67.0,106.984
68.0,108.585
69.0,110.187
70.0,111.788
71.0,113.39
72.0,114.993
73.0,116.595
74.0,118.197
75.0,119.8
76.0,121.402
77.0,123.004
78.0,124.606
79.0,126.209
80.0,127.811
81.0,129.414
82.0,131.017
83.0,132.621
84.0,134.224
85.0,135.827
86.0,137.43
87.0,139.033
88.0,140.637
89.0,142.24
90.0,143.843
91.0,145.447
92.0,147.05
93.0,148.654
94.0,150.257
95.0,151.861
96.0,153.464
97.0,155.068
98.0,156.671
99.0,158.275
100.0,159.878
101.0,161.483
102.0,163.087
103.0,164.692
104.0,166.296
105.0,167.901
106.0,169.505
107.0,171.11
108.0,172.714
109.0,174.319
110.0,175.923
111.0,177.529
112.0,179.134
113.0,180.74
114.0,182.345
115.0,183.951
116.0,185.556
117.0,187.162
118.0,188.767
119.0,190.373
120.0,191.978
121.0,193.584
122.0,195.191
123.0,196.797
124.0,198.404
125.0,200.01
126.0,201.616
127.0,203.223
128.0,204.829
129.0,206.436
130.0,208.042
131.0,209.65
132.0,211.257
133.0,212.865
134.0,214.472
135.0,216.08
136.0,217.687
137.0,219.295
138.0,220.902
139.0,222.51
140.0,224.117
141.0,225.725
142.0,227.334
143.0,228.942
144.0,230.551
145.0,232.159
146.0,233.767
147.0,235.376
148.0,236.984
149.0,238.593
150.0,240.201
151.0,241.81
152.0,243.42
153.0,245.029
154.0,246.639
155.0,248.248
156.0,249.857
157.0,251.467
158.0,253.076
159.0,254.686
160.0,256.295
161.0,257.905
162.0,259.516
163.0,261.126
164.0,262.737
165.0,264.347
166.0,265.957
167.0,267.568
168.0,269.178
169.0,270.789
170.0,272.399
171.0,274.01
172.0,275.622
173.0,277.233
174.0,278.845
175.0,280.456
176.0,282.067
177.0,283.679
178.0,285.29
179.0,286.902
180.0,288.513
181.0,290.125
182.0,291.738
183.0,293.35
184.0,294.963
185.0,296.575
186.0,298.187
187.0,299.8
188.0,301.412
189.0,303.025
190.0,304.637
191.0,306.25
192.0,307.864
193.0,309.477
194.0,311.091
195.0,312.704
196.0,314.317
197.0,315.931
198.0,317.544
199.0,319.158
200.0,320.771
201.0,322.385
202.0,324.0
203.0,325.614
204.0,327.228
205.0,328.843
206.0,330.457
207.0,332.071
208.0,333.685
209.0,335.3
210.0,336.914
211.0,338.529
212.0,340.145
213.0,341.76
214.0,343.375
215.0,344.991
216.0,346.606
217.0,348.221
218.0,349.836
219.0,351.452
220.0,353.067
221.0,354.683
222.0,356.3
223.0,357.916
224.0,359.533
225.0,361.149
226.0,362.765
227.0,364.382
228.0,365.998
229.0,367.615
230.0,369.231
231.0,370.848
232.0,372.466
233.0,374.083
234.0,375.7
235.0,377.318
236.0,378.935
237.0,380.552
238.0,382.169
239.0,383.787
240.0,385.404
241.0,387.022
242.0,388.641
243.0,390.259
244.0,391.877
245.0,393.496
246.0,395.114
247.0,396.732
248.0,398.35
249.0,399.969
250.0,401.587
251.0,403.206
252.0,404.826
253.0,406.445
254.0,408.064
255.0,409.684
256.0,411.303
257.0,412.922
258.0,414.541
259.0,416.161
260.0,417.78
261.0,419.4
262.0,421.021
263.0,422.641
264.0,424.261
265.0,425.882
266.0,427.502
267.0,429.122
268.0,430.742
269.0,432.363
270.0,433.983
271.0,435.604
272.0,437.225
273.0,438.847
274.0,440.468
275.0,442.089
276.0,443.71
277.0,445.331
278.0,446.953
279.0,448.574
280.0,450.195
281.0,451.817
282.0,453.44
283.0,455.062
284.0,456.684
285.0,458.307
286.0,459.929
287.0,461.551
288.0,463.173
289.0,464.796
290.0,466.418
291.0,468.041
292.0,469.664
293.0,471.288
294.0,472.911
295.0,474.534
296.0,476.157
297.0,477.78
298.0,479.404
299.0,481.027
300.0,482.65
301.0,484.274
302.0,485.898
303.0,487.523
304.0,489.147
305.0,490.771
306.0,492.395
307.0,494.019
308.0,495.644
309.0,497.268
310.0,498.892
311.0,500.517
312.0,502.142
313.0,503.768
314.0,505.393
315.0,507.018
316.0,508.643
317.0,510.268
318.0,511.894
319.0,513.519
320.0,515.144
321.0,516.77
322.0,518.396
323.0,520.023
324.0,521.649
325.0,523.275
326.0,524.901
327.0,526.527
328.0,528.154
329.0,529.78
330.0,531.406
331.0,533.033
332.0,534.66
333.0,536.288
334.0,537.915
335.0,539.542
336.0,541.169
337.0,542.796
338.0,544.424
339.0,546.051
340.0,547.678
341.0,549.306
342.0,550.934
343.0,552.563
344.0,554.191
345.0,555.819
346.0,557.447
347.0,559.075
348.0,560.704
349.0,562.332
350.0,563.96
351.0,565.589
352.0,567.218
353.0,568.848
354.0,570.477
355.0,572.106
356.0,573.735
357.0,575.364
358.0,576.994
359.0,578.623
360.0,580.252
361.0,581.882
362.0,583.512
363.0,585.142
364.0,586.772
365.0,588.403
366.0,590.033
367.0,591.663
368.0,593.293
369.0,594.923
370.0,596.553
371.0,598.184
372.0,599.815
373.0,601.446
374.0,603.077
375.0,604.709
376.0,606.34
377.0,607.971
378.0,609.602
379.0,611.233
380.0,612.864
381.0,614.496
382.0,616.128
383.0,617.761
384.0,619.393
385.0,621.025
386.0,622.657
387.0,624.289
388.0,625.922
389.0,627.554
390.0,629.186
391.0,630.819
392.0,632.452
393.0,634.085
394.0,635.718
395.0,637.352
396.0,638.985
397.0,640.618
398.0,642.251
399.0,643.884
400.0,645.517
401.0,647.151
402.0,648.785
403.0,650.419
404.0,652.053
405.0,653.688
406.0,655.322
407.0,656.956
408.0,658.59
409.0,660.224
410.0,661.858
411.0,663.493
412.0,665.128
413.0,666.763
414.0,668.398
415.0,670.034
416.0,671.669
417.0,673.304
418.0,674.939
419.0,676.574
420.0,678.209
421.0,679.845
422.0,681.481
423.0,683.117
424.0,684.753
425.0,686.389
426.0,688.025
427.0,689.661
428.0,691.297
429.0,692.933
430.0,694.569
431.0,696.206
432.0,697.843
433.0,699.48
434.0,701.117
435.0,702.755
436.0,704.392
437.0,706.029
438.0,707.666
439.0,709.303
440.0,710.94
441.0,712.578
442.0,714.216
443.0,715.854
444.0,717.492
445.0,719.131
446.0,720.769
447.0,722.407
448.0,724.045
449.0,725.683
450.0,727.321
451.0,728.96
452.0,730.599
453.0,732.238
454.0,733.877
455.0,735.516
456.0,737.155
457.0,738.794
458.0,740.433
459.0,742.072
460.0,743.711
461.0,745.351
462.0,746.991
463.0,748.631
464.0,750.271
465.0,751.911
466.0,753.551
467.0,755.191
468.0,756.831
469.0,758.471
470.0,760.111
471.0,761.752
472.0,763.393
473.0,765.034
474.0,766.675
475.0,768.316
476.0,769.957
477.0,771.598
478.0,773.239
479.0,774.88
480.0,776.521
481.0,778.163
482.0,779.805
483.0,781.447
484.0,783.089
485.0,784.731
486.0,786.373
487.0,788.015
488.0,789.657
489.0,791.299
490.0,792.941
491.0,794.584
492.0,796.227
493.0,797.87
494.0,799.513
495.0,801.156
496.0,802.799
497.0,804.442
498.0,806.085
499.0,807.728
500.0,809.371
501.0,811.015
502.0,812.659
503.0,814.303
504.0,815.947
505.0,817.591
506.0,819.235
507.0,820.879
508.0,822.523
509.0,824.167
510.0,825.811
511.0,827.456
512.0,829.101
513.0,830.746
514.0,832.391
515.0,834.036
516.0,835.68
517.0,837.325
518.0,838.97
519.0,840.615
520.0,842.26
521.0,843.906
522.0,845.552
523.0,847.198
524.0,848.844
525.0,850.49
526.0,852.136
527.0,853.782
528.0,855.428
529.0,857.074
530.0,858.72
531.0,860.367
532.0,862.014
533.0,863.661
534.0,865.308
535.0,866.955
536.0,868.601
537.0,870.248
538.0,871.895
539.0,873.542
540.0,875.189
541.0,876.837
542.0,878.485
543.0,880.133
544.0,881.781
545.0,883.429
546.0,885.076
547.0,886.724
548.0,888.372
549.0,890.02
550.0,891.668
551.0,893.317
552.0,894.966
553.0,896.615
554.0,898.264
555.0,899.913
556.0,901.561
557.0,903.21
558.0,904.859
559.0,906.508
560.0,908.157
561.0,909.807
562.0,911.457
563.0,913.107
564.0,914.757
565.0,916.407
566.0,918.056
567.0,919.706
568.0,921.356
569.0,923.006
570.0,924.656
571.0,926.307
572.0,927.958
573.0,929.609
574.0,931.26
575.0,932.911
576.0,934.561
577.0,936.212
578.0,937.863
579.0,939.514
580.0,941.165
581.0,942.817
582.0,944.469
583.0,946.121
584.0,947.773
585.0,949.425
586.0,951.076
587.0,952.728
588.0,954.38
589.0,956.032
590.0,957.684
591.0,959.337
592.0,960.99
593.0,962.643
594.0,964.296
595.0,965.949
596.0,967.601
597.0,969.254
598.0,970.907
599.0,972.56
600.0,974.213
601.0,975.867
602.0,977.521
603.0,979.174
604.0,980.828
605.0,982.482
606.0,984.136
607.0,985.79
608.0,987.443
609.0,989.097
610.0,990.751
611.0,992.406
612.0,994.061
613.0,995.715
614.0,997.37
615.0,999.025
616.0,1000.68
617.0,1002.335
618.0,1003.989
619.0,1005.644
620.0,1007.299
621.0,1008.955
622.0,1010.611
623.0,1012.266
624.0,1013.922
625.0,1015.578
626.0,1017.234
627.0,1018.89
628.0,1020.545
629.0,1022.201
630.0,1023.857
631.0,1025.514
632.0,1027.171
633.0,1028.827
634.0,1030.484
635.0,1032.141
636.0,1033.798
637.0,1035.455
638.0,1037.111
639.0,1038.768
640.0,1040.425
641.0,1042.083
642.0,1043.741
643.0,1045.398
644.0,1047.056
645.0,1048.714
646.0,1050.372
647.0,1052.03
648.0,1053.687
649.0,1055.345
650.0,1057.003
651.0,1058.662
652.0,1060.321
653.0,1061.979
654.0,1063.638
655.0,1065.297
656.0,1066.956
657.0,1068.615
658.0,1070.273
659.0,1071.932
660.0,1073.591
661.0,1075.251
662.0,1076.911
663.0,1078.57
664.0,1080.23
665.0,1081.89
666.0,1083.55
667.0,1085.21
668.0,1086.869
669.0,1088.529
670.0,1090.189
671.0,1091.85
672.0,1093.51
673.0,1095.171
