date,apparent_temperature,pressure_msl,wind_speed_10m,sea_surface_temperature
2026-05-31 07:00:00-04:00,28.543839,1018.1,4,27.2
2026-05-31 08:00:00-04:00,29.373482,1018.6,4,27.2
2026-05-31 09:00:00-04:00,29.750309,1019.0,4,27.25
2026-05-31 10:00:00-04:00,30.15731,1019.0,4,27.3
2026-05-31 11:00:00-04:00,30.77206,1018.7,4,27.35
2026-05-31 12:00:00-04:00,31.134811,1018.4,4,27.4
2026-05-31 13:00:00-04:00,31.019775,1017.9,4,27.45
2026-05-31 14:00:00-04:00,30.892204,1017.3,4,27.5
2026-05-31 15:00:00-04:00,30.265602,1016.8,4,27.5
2026-05-31 16:00:00-04:00,29.433132,1016.6,4,27.5
2026-05-31 17:00:00-04:00,29.205772,1016.5,4,27.5
2026-05-31 18:00:00-04:00,29.137268,1017.0,4,27.45
2026-05-31 19:00:00-04:00,29.015282,1017.1,4,27.4
2026-05-31 20:00:00-04:00,29.146648,1018.0,4,27.4
2026-05-31 21:00:00-04:00,29.005478,1018.8,4,27.4
2026-05-31 22:00:00-04:00,29.093681,1019.1,4,27.35
2026-05-31 23:00:00-04:00,29.040848,1019.1,4,27.35
2026-06-01 00:00:00-04:00,28.490189,1019.1,4,26.95
2026-06-01 01:00:00-04:00,28.101498,1018.4,4,26.9
2026-06-01 02:00:00-04:00,27.361599,1018.1,5,26.9
2026-06-01 03:00:00-04:00,27.18925,1017.8,5,26.9
2026-06-01 04:00:00-04:00,27.105553,1018.2,5,26.85
2026-06-01 05:00:00-04:00,26.811136,1018.5,5,26.85
2026-06-01 06:00:00-04:00,26.42245,1018.7,5,26.85
2026-06-01 07:00:00-04:00,26.515568,1019.1,5,26.85
2026-06-01 08:00:00-04:00,27.38748,1019.7,5,26.85
2026-06-01 09:00:00-04:00,27.719358,1019.9,4,26.85
2026-06-01 10:00:00-04:00,28.819527,1020.1,4,26.9
2026-06-01 11:00:00-04:00,29.466774,1019.9,4,26.95
2026-06-01 12:00:00-04:00,29.625935,1019.5,4,27.0
2026-06-01 13:00:00-04:00,30.003662,1019.3,4,27.05
2026-06-01 14:00:00-04:00,29.330013,1018.8,4,27.05
2026-06-01 15:00:00-04:00,28.725586,1018.5,4,27.05
2026-06-01 16:00:00-04:00,28.322044,1018.3,4,27.05
2026-06-01 17:00:00-04:00,27.96225,1018.3,4,27.05
2026-06-01 18:00:00-04:00,27.743223,1018.5,5,27.05
2026-06-01 19:00:00-04:00,27.509005,1018.8,5,27.0
2026-06-01 20:00:00-04:00,27.735092,1019.5,5,27.0
2026-06-01 21:00:00-04:00,27.624067,1020.0,5,27.0
2026-06-01 22:00:00-04:00,26.996166,1020.2,5,26.95
2026-06-01 23:00:00-04:00,27.25332,1019.9,5,26.95
2026-06-01 23:00:00-04:00,27.25332,1019.9,5,27.9
2026-06-02 00:00:00-03:00,27.259789,1016.3,5,26.95
2026-06-02 00:00:00-03:00,27.259789,1016.3,5,27.9
2026-06-02 01:00:00-03:00,26.898293,1015.6,5,27.85
2026-06-02 02:00:00-03:00,26.6793,1014.8,5,27.85
2026-06-02 03:00:00-03:00,26.617586,1014.3,5,27.85
2026-06-02 04:00:00-03:00,26.774261,1014.2,5,27.85
2026-06-02 05:00:00-03:00,26.664942,1014.4,5,27.8
2026-06-02 06:00:00-03:00,26.704845,1014.8,5,27.8
2026-06-02 07:00:00-03:00,26.911253,1015.2,5,27.75
2026-06-02 08:00:00-03:00,27.175781,1015.8,5,27.75
2026-06-02 09:00:00-03:00,27.794231,1016.5,5,27.75
2026-06-02 10:00:00-03:00,28.165493,1017.0,5,27.75
2026-06-02 11:00:00-03:00,28.56557,1016.9,5,27.75
2026-06-02 12:00:00-03:00,28.643036,1016.5,5,27.8
2026-06-02 13:00:00-03:00,29.138378,1016.0,5,27.8
2026-06-02 14:00:00-03:00,28.89397,1015.5,5,27.85
2026-06-02 15:00:00-03:00,28.794117,1014.9,5,27.85
2026-06-02 16:00:00-03:00,27.97829,1014.6,5,27.85
2026-06-02 17:00:00-03:00,27.634453,1014.4,5,27.85
2026-06-02 18:00:00-03:00,27.575813,1014.6,5,27.85
2026-06-02 19:00:00-03:00,27.034243,1014.7,5,27.85
2026-06-02 20:00:00-03:00,27.347809,1014.9,5,27.8
2026-06-02 21:00:00-03:00,27.459015,1016.0,5,27.8
2026-06-02 22:00:00-03:00,27.37175,1016.3,5,27.75
2026-06-02 23:00:00-03:00,26.994267,1016.6,5,27.7
2026-06-03 00:00:00-03:00,31.201336,1016.0,3,28.05
2026-06-03 01:00:00-03:00,30.927277,1015.3,3,28.0
2026-06-03 02:00:00-03:00,30.6857,1014.5,3,28.0
2026-06-03 03:00:00-03:00,30.538853,1014.6,3,28.0
2026-06-03 04:00:00-03:00,30.400082,1014.5,3,28.0
2026-06-03 05:00:00-03:00,30.101704,1014.4,3,28.0
2026-06-03 06:00:00-03:00,30.055683,1014.6,4,28.0
2026-06-03 07:00:00-03:00,29.984734,1015.0,4,28.0
2026-06-03 08:00:00-03:00,30.069275,1015.3,4,28.05
2026-06-03 09:00:00-03:00,30.74812,1015.8,4,28.05
2026-06-03 10:00:00-03:00,31.624012,1015.9,4,28.1
2026-06-03 11:00:00-03:00,32.162815,1015.7,4,28.15
2026-06-03 12:00:00-03:00,32.314957,1015.3,4,28.2
2026-06-03 13:00:00-03:00,32.84186,1014.7,4,28.3
2026-06-03 14:00:00-03:00,32.442688,1014.0,4,28.35
2026-06-03 15:00:00-03:00,31.610382,1013.7,4,28.35
2026-06-03 16:00:00-03:00,30.752773,1013.5,4,28.35
2026-06-03 17:00:00-03:00,30.556957,1013.3,4,28.3
2026-06-03 18:00:00-03:00,30.346111,1013.6,4,28.3
2026-06-03 19:00:00-03:00,30.686562,1013.6,4,28.25
2026-06-03 20:00:00-03:00,31.025528,1014.3,4,28.2
2026-06-03 21:00:00-03:00,31.43261,1015.1,4,28.15
2026-06-03 22:00:00-03:00,30.833935,1015.4,4,28.15
2026-06-03 23:00:00-03:00,30.036396,1015.7,4,28.1
2026-06-04 00:00:00-03:00,30.717598,1015.0,3,28.1
2026-06-04 01:00:00-03:00,30.107574,1014.5,3,28.1
2026-06-04 02:00:00-03:00,28.87207,1013.8,3,28.05
2026-06-04 03:00:00-03:00,29.425114,1013.7,3,28.05
2026-06-04 04:00:00-03:00,29.124378,1013.8,4,28.05
2026-06-04 05:00:00-03:00,29.741734,1013.6,3,28.05
2026-06-04 06:00:00-03:00,30.476566,1014.2,2,28.05
2026-06-04 07:00:00-03:00,29.674313,1015.0,3,28.05
2026-06-04 08:00:00-03:00,29.360764,1015.6,3,28.05
2026-06-04 09:00:00-03:00,29.308205,1015.7,4,28.05
2026-06-04 10:00:00-03:00,29.59774,1016.1,3,28.05
2026-06-04 11:00:00-03:00,30.701714,1015.4,3,28.1
2026-06-04 12:00:00-03:00,28.257107,1015.3,5,28.15
2026-06-04 13:00:00-03:00,28.246044,1014.2,4,28.15
2026-06-04 14:00:00-03:00,29.568127,1013.7,4,28.2
2026-06-04 15:00:00-03:00,29.159657,1013.3,4,28.2
2026-06-04 16:00:00-03:00,29.405228,1013.2,4,28.2
2026-06-04 17:00:00-03:00,29.708447,1013.3,4,28.15
2026-06-04 18:00:00-03:00,29.99076,1013.8,3,28.1
2026-06-04 19:00:00-03:00,30.102612,1013.7,3,28.1
2026-06-04 20:00:00-03:00,30.082111,1014.3,4,28.05
2026-06-04 21:00:00-03:00,30.195923,1014.7,4,28.0
2026-06-04 22:00:00-03:00,30.597733,1014.8,4,27.95
2026-06-04 23:00:00-03:00,30.293007,1014.6,4,27.95
2026-06-04 23:00:00-03:00,30.293007,1014.6,4,28.55
2026-06-05 00:00:00-02:00,30.542488,1014.5,4,27.95
2026-06-05 00:00:00-02:00,30.542488,1014.5,4,28.55
2026-06-05 01:00:00-02:00,30.730858,1013.7,4,28.5
2026-06-05 02:00:00-02:00,30.567879,1012.9,4,28.5
2026-06-05 03:00:00-02:00,30.31187,1012.4,4,28.5
2026-06-05 04:00:00-02:00,29.785309,1012.5,4,28.5
2026-06-05 05:00:00-02:00,29.991997,1012.8,4,28.5
2026-06-05 06:00:00-02:00,29.95459,1013.0,4,28.5
2026-06-05 07:00:00-02:00,30.093475,1013.5,4,28.5
2026-06-05 08:00:00-02:00,30.244434,1014.0,4,28.5
2026-06-05 09:00:00-02:00,30.448166,1014.6,3,28.55
2026-06-05 10:00:00-02:00,30.846855,1014.6,3,28.55
2026-06-05 11:00:00-02:00,31.663528,1014.6,3,28.6
2026-06-05 12:00:00-02:00,32.02868,1014.5,3,28.65
2026-06-05 13:00:00-02:00,31.967716,1013.6,3,28.7
2026-06-05 14:00:00-02:00,31.772903,1013.0,3,28.75
2026-06-05 15:00:00-02:00,30.648438,1012.6,4,28.8
2026-06-05 16:00:00-02:00,30.205307,1012.3,4,28.8
2026-06-05 17:00:00-02:00,29.880356,1012.5,4,28.8
2026-06-05 18:00:00-02:00,29.955894,1013.0,4,28.75
2026-06-05 19:00:00-02:00,30.071873,1013.2,4,28.7
2026-06-05 20:00:00-02:00,29.862843,1013.5,4,28.65
2026-06-05 21:00:00-02:00,29.09488,1013.8,4,28.65
2026-06-05 22:00:00-02:00,27.226461,1014.4,4,28.6
2026-06-05 23:00:00-02:00,28.920425,1014.4,4,28.6
2026-06-06 00:00:00-02:00,28.414177,1014.2,4,28.4
2026-06-06 01:00:00-02:00,28.445282,1013.6,4,28.4
2026-06-06 02:00:00-02:00,28.41029,1013.0,4,28.4
2026-06-06 03:00:00-02:00,28.247913,1012.7,4,28.4
2026-06-06 04:00:00-02:00,28.237709,1012.7,4,28.4
2026-06-06 05:00:00-02:00,28.276329,1012.9,4,28.4
2026-06-06 06:00:00-02:00,28.762524,1013.1,3,28.4
2026-06-06 07:00:00-02:00,28.711456,1013.3,3,28.4
2026-06-06 08:00:00-02:00,28.955452,1013.7,4,28.4
2026-06-06 09:00:00-02:00,28.65168,1014.0,4,28.4
2026-06-06 10:00:00-02:00,28.726204,1014.1,4,28.4
2026-06-06 11:00:00-02:00,29.701645,1014.2,4,28.4
2026-06-06 12:00:00-02:00,30.268661,1013.7,4,28.45
2026-06-06 13:00:00-02:00,30.163593,1013.0,4,28.45
2026-06-06 14:00:00-02:00,29.486359,1012.2,4,28.5
2026-06-06 15:00:00-02:00,28.69175,1012.0,4,28.5
2026-06-06 16:00:00-02:00,29.038445,1012.2,4,28.5
2026-06-06 17:00:00-02:00,28.777855,1012.6,4,28.5
2026-06-06 18:00:00-02:00,28.623638,1012.9,4,28.5
2026-06-06 19:00:00-02:00,28.56522,1013.5,4,28.45
2026-06-06 20:00:00-02:00,28.558323,1013.8,4,28.45
2026-06-06 21:00:00-02:00,28.576126,1013.9,4,28.4
2026-06-06 22:00:00-02:00,28.998589,1014.4,4,28.4
2026-06-06 23:00:00-02:00,29.11465,1014.7,4,28.4
2026-06-06 23:00:00-02:00,29.11465,1014.7,4,26.55
2026-06-07 00:00:00-01:00,27.01691,1016.1,3,28.4
2026-06-07 00:00:00-01:00,27.01691,1016.1,3,26.55
2026-06-07 01:00:00-01:00,26.881287,1016.0,3,26.55
2026-06-07 02:00:00-01:00,26.750338,1015.4,3,26.5
2026-06-07 03:00:00-01:00,26.691158,1015.2,3,26.5
2026-06-07 04:00:00-01:00,26.623537,1015.1,3,26.5
2026-06-07 05:00:00-01:00,26.025911,1015.1,3,26.5
2026-06-07 06:00:00-01:00,25.985275,1015.3,4,26.5
2026-06-07 07:00:00-01:00,26.120834,1015.7,3,26.5
2026-06-07 08:00:00-01:00,26.303436,1016.2,4,26.5
2026-06-07 09:00:00-01:00,26.084158,1016.9,4,26.5
2026-06-07 10:00:00-01:00,25.883797,1017.1,4,26.5
2026-06-07 11:00:00-01:00,26.444801,1017.1,4,26.5
2026-06-07 12:00:00-01:00,26.67369,1016.7,4,26.5
2026-06-07 13:00:00-01:00,26.957188,1015.7,4,26.5
2026-06-07 14:00:00-01:00,27.002478,1015.1,4,26.55
2026-06-07 15:00:00-01:00,26.541916,1014.5,4,26.55
2026-06-07 16:00:00-01:00,26.689219,1014.4,4,26.55
2026-06-07 17:00:00-01:00,26.824272,1015.0,4,26.55
2026-06-07 18:00:00-01:00,26.935884,1015.2,4,26.55
2026-06-07 19:00:00-01:00,26.74397,1015.6,4,26.55
2026-06-07 20:00:00-01:00,26.583235,1016.2,4,26.5
2026-06-07 21:00:00-01:00,26.77336,1016.7,4,26.5
2026-06-07 22:00:00-01:00,26.993462,1017.0,4,26.45
2026-06-07 23:00:00-01:00,26.820343,1017.2,4,26.45
2026-06-08 00:00:00-01:00,23.891052,1018.7,4,24.65
2026-06-08 01:00:00-01:00,23.977207,1018.8,4,24.65
2026-06-08 02:00:00-01:00,24.227358,1018.8,4,24.65
2026-06-08 03:00:00-01:00,24.33248,1018.4,4,24.65
2026-06-08 04:00:00-01:00,24.398912,1018.1,4,24.65
2026-06-08 05:00:00-01:00,24.68206,1019.0,4,24.65
2026-06-08 06:00:00-01:00,24.731205,1019.4,4,24.65
2026-06-08 07:00:00-01:00,24.63246,1019.7,4,24.65
2026-06-08 08:00:00-01:00,24.65405,1020.4,4,24.65
2026-06-08 09:00:00-01:00,24.498371,1020.9,4,24.7
2026-06-08 10:00:00-01:00,24.115,1021.1,4,24.7
